probe_id,gene_symbol,coefficient,abs_coef,direction
TC13000640.hg.1,ZC3H13,-0.3450167525331627,0.3450167525331627,Down in Tumor
TC19001118.hg.1,CD209,-0.33495240728585013,0.33495240728585013,Down in Tumor
TC19001958.hg.1,TC19001958.hg.1,-0.31069782576173727,0.31069782576173727,Down in Tumor
TC01003191.hg.1,HIST2H2BC,0.30214619249859026,0.30214619249859026,Up in Tumor
TC11000694.hg.1,GSTP1,0.3005603950849826,0.3005603950849826,Up in Tumor
TC19000136.hg.1,CLEC4M,-0.2986892035942332,0.2986892035942332,Down in Tumor
TC03000087.hg.1,SLC6A6,0.2935307542659595,0.2935307542659595,Up in Tumor
TC0X002082.hg.1,TC0X002082.hg.1,-0.288839115694086,0.288839115694086,Down in Tumor
TC03000258.hg.1,RTP3,-0.2830611750088105,0.2830611750088105,Down in Tumor
TC06001350.hg.1,HIST1H2BG,0.27443932912440566,0.27443932912440566,Up in Tumor
TC12000744.hg.1,TC12000744.hg.1,-0.257991679322421,0.257991679322421,Down in Tumor
TC04000880.hg.1,TC04000880.hg.1,0.2454069252273783,0.2454069252273783,Up in Tumor
TC03003057.hg.1,TC03003057.hg.1,-0.24533325712350293,0.24533325712350293,Down in Tumor
TC02001119.hg.1,MFSD6,0.24288283232877486,0.24288283232877486,Up in Tumor
TC12001607.hg.1,GLS2,-0.23524745983809245,0.23524745983809245,Down in Tumor
TC04002024.hg.1,TC04002024.hg.1,0.23230759324934316,0.23230759324934316,Up in Tumor
TC16000430.hg.1,LONP2,-0.22882785556116803,0.22882785556116803,Down in Tumor
TC07000606.hg.1,AZGP1P1,-0.22702819436192623,0.22702819436192623,Down in Tumor
TC14001693.hg.1,TC14001693.hg.1,0.2266049892095831,0.2266049892095831,Up in Tumor
TC12001842.hg.1,HAL,-0.22019135252525565,0.22019135252525565,Down in Tumor
TC12001989.hg.1,SDS,-0.21497956669294013,0.21497956669294013,Down in Tumor
TC04000320.hg.1,TMEM165,0.21497401612793535,0.21497401612793535,Up in Tumor
TC11001098.hg.1,OAF,-0.2125777351539044,0.2125777351539044,Down in Tumor
TC02000877.hg.1,ACMSD,-0.2099540620597284,0.2099540620597284,Down in Tumor
TC05003278.hg.1,TC05003278.hg.1,-0.20761231700901295,0.20761231700901295,Down in Tumor
TC17001202.hg.1,TC17001202.hg.1,-0.1975117566272064,0.1975117566272064,Down in Tumor
TC19000751.hg.1,ATF5,-0.1949876616387161,0.1949876616387161,Down in Tumor
TC01005824.hg.1,TC01005824.hg.1,0.19393848672862368,0.19393848672862368,Up in Tumor
TC14002192.hg.1,DCAF11,-0.1939081953381805,0.1939081953381805,Down in Tumor
TC05002346.hg.1,TC05002346.hg.1,-0.1934835114228121,0.1934835114228121,Down in Tumor
TC14001605.hg.1,TC14001605.hg.1,-0.18916202792527118,0.18916202792527118,Down in Tumor
TC10002273.hg.1,TC10002273.hg.1,0.18517005524280336,0.18517005524280336,Up in Tumor
TC07003300.hg.1,CYP3A7,-0.17468702267898673,0.17468702267898673,Down in Tumor
TC19002702.hg.1,CYP2A7,-0.1743917811340909,0.1743917811340909,Down in Tumor
TC19001257.hg.1,PGLYRP2,-0.17021611496305802,0.17021611496305802,Down in Tumor
TC15000109.hg.1,SNORD115-40,-0.1695848661078894,0.1695848661078894,Down in Tumor
TC19001549.hg.1,CYP2A6,-0.165776588919423,0.165776588919423,Down in Tumor
TC10000086.hg.1,ECHDC3,-0.08556962525382057,0.08556962525382057,Down in Tumor
TC01006362.hg.1,GBP7,-0.062122075209635835,0.062122075209635835,Down in Tumor
TC22001430.hg.1,CYP2D6,-0.04690696956264176,0.04690696956264176,Down in Tumor
TC02001423.hg.1,SPP2,-0.04043041745870843,0.04043041745870843,Down in Tumor
TC13000418.hg.1,PROZ,0.033111915778124106,0.033111915778124106,Up in Tumor
TC15000350.hg.1,SORD,-0.029871243836486174,0.029871243836486174,Down in Tumor
TC15001299.hg.1,TC15001299.hg.1,-0.02657569536675533,0.02657569536675533,Down in Tumor
TC15002181.hg.1,TC15002181.hg.1,-0.02035652480547362,0.02035652480547362,Down in Tumor
TC15000684.hg.1,CYP1A2,0.017969574916684432,0.017969574916684432,Up in Tumor
TC19002318.hg.1,TC19002318.hg.1,-0.01057579388974978,0.01057579388974978,Down in Tumor
TC11002504.hg.1,TC11002504.hg.1,-0.00571488302112941,0.00571488302112941,Down in Tumor
TC03001733.hg.1,ALDH1L1,-0.002502098214951537,0.002502098214951537,Down in Tumor
TC11001551.hg.1,SLC1A2,0.0023566472736613114,0.0023566472736613114,Up in Tumor
