Pipeline,Model,AUC,AUC_std,Accuracy,Accuracy_std,F1,F1_std,Sensitivity,Specificity,MCC,MCC_std,Train_AUC,Train_AUC_std
SVM-RFE,Naive Bayes,1.0,0.0,0.9946,0.0108,0.9946,0.0108,0.9889,1.0,0.9894,0.0211,1.0,0.0
SVM-RFE,Logistic Regression,1.0,0.0,0.989,0.0134,0.989,0.0134,0.9889,0.9889,0.9786,0.0262,1.0,0.0
SVM-RFE,SVM,1.0,0.0,0.989,0.0134,0.989,0.0134,0.9889,0.9889,0.9786,0.0262,1.0,0.0
SVM-RFE,Random Forest,1.0,0.0,0.989,0.0134,0.989,0.0134,0.9889,0.9889,0.9786,0.0262,1.0,0.0
RF,Logistic Regression,1.0,0.0,0.989,0.0134,0.989,0.0134,0.9889,0.9889,0.9786,0.0262,1.0,0.0
RF,SVM,1.0,0.0,0.989,0.0134,0.989,0.0134,0.9889,0.9889,0.9786,0.0262,1.0,0.0
RF,Random Forest,1.0,0.0,0.989,0.0134,0.989,0.0134,0.9889,0.9889,0.9786,0.0262,1.0,0.0
RF,Naive Bayes,1.0,0.0,0.989,0.0134,0.989,0.0134,0.9889,0.9889,0.9786,0.0262,1.0,0.0
LASSO,SVM,1.0,0.0,0.9836,0.0134,0.9836,0.0134,0.9784,0.9889,0.9681,0.0261,1.0,0.0001
LASSO,Naive Bayes,0.9994,0.0012,0.9892,0.0132,0.9892,0.0133,0.9784,1.0,0.9789,0.0258,0.9999,0.0001
LASSO,Random Forest,0.9994,0.0012,0.9836,0.0134,0.9836,0.0134,0.9889,0.9778,0.9681,0.0261,1.0,0.0
LASSO,Logistic Regression,0.9994,0.0012,0.9782,0.0203,0.9782,0.0203,0.9784,0.9778,0.957,0.0404,1.0,0.0001
LASSO,LightGBM,0.9936,0.0129,0.9728,0.0171,0.9728,0.0171,0.9889,0.9567,0.9475,0.0325,1.0,0.0
LASSO,XGBoost,0.9933,0.0108,0.989,0.0134,0.989,0.0134,1.0,0.9778,0.9786,0.0262,1.0,0.0
SVM-RFE,LightGBM,0.9842,0.0197,0.9836,0.0134,0.9836,0.0134,0.9778,0.9889,0.9681,0.0261,1.0,0.0
RF,XGBoost,0.9839,0.0131,0.9836,0.0134,0.9836,0.0134,0.9889,0.979,0.9681,0.026,1.0,0.0
SVM-RFE,XGBoost,0.9833,0.0222,0.9838,0.0216,0.9837,0.0218,0.9889,0.9778,0.9688,0.0414,1.0,0.0
RF,LightGBM,0.9798,0.018,0.9836,0.0134,0.9836,0.0134,0.9889,0.9784,0.9681,0.0261,1.0,0.0
