ID_REF,probe_id,log2FC,p_value,adj_p_value,mean_tumor,mean_nontumor
TC03001160.hg.1,TC03001160.hg.1,-1.6706377344139618,8.094875138612516e-97,4.566966655702409e-92,5.86682007326007,7.5374578076740315
TC22000024.hg.1,TC22000024.hg.1,-1.6723088798793304,1.4331912408436766e-94,2.6952594475306184e-90,5.673055400828678,7.345364280708009
TC10001278.hg.1,TC10001278.hg.1,-1.896231906341459,1.1440724946936741e-94,2.6952594475306184e-90,6.164074999099263,8.060306905440722
TC17000937.hg.1,TC17000937.hg.1,-1.45205038401489,7.468859792743909e-92,1.0534453294675646e-87,6.228061555875818,7.680111939890708
TC15000747.hg.1,TC15000747.hg.1,-1.6958894878517832,3.132395957552262e-91,3.5344703026636704e-87,6.075217718729355,7.771107206581138
TC0X000358.hg.1,TC0X000358.hg.1,-2.5106693952845722,7.915504289956159e-91,6.379670300439237e-87,4.88853180868312,7.399201203967692
TC07000606.hg.1,TC07000606.hg.1,-1.4959882660194435,7.279110929469748e-91,6.379670300439237e-87,5.17848963550111,6.674477901520554
TC03002070.hg.1,TC03002070.hg.1,-1.043534127667293,1.5055958979379534e-90,1.061783867123293e-86,5.217097194499492,6.260631322166785
TC08001076.hg.1,TC08001076.hg.1,-2.8995213771640547,4.92597105428969e-90,3.0879270548990637e-86,5.075050623311116,7.97457200047517
TC19001919.hg.1,TC19001919.hg.1,-2.9205953103566644,2.625759609386392e-89,1.4814010564236146e-85,6.432751775055546,9.35334708541221
TC01001089.hg.1,TC01001089.hg.1,-1.903362820865282,3.274357671974749e-89,1.6793882830679218e-85,5.435735343781903,7.339098164647185
TC06001325.hg.1,TC06001325.hg.1,-3.041628125719611,1.608817589054137e-88,7.563855894938025e-85,4.86581593106347,7.907444056783081
TC21000500.hg.1,TC21000500.hg.1,-1.7345150600492412,6.950196319912004e-88,3.01627827674458e-84,6.0612273716447485,7.79574243169399
TC13000416.hg.1,TC13000416.hg.1,-1.8330036287560123,1.3258957400555604e-87,5.343170418746758e-84,6.465212329310036,8.298215958066049
TC09001695.hg.1,TC09001695.hg.1,-1.6236775361731315,1.7086183997314797e-87,6.426455525070042e-84,6.2799513168798455,7.903628853052977
TC03000063.hg.1,TC03000063.hg.1,-2.7188666446507854,1.9168740786031553e-87,6.759137610414551e-84,5.697615577373445,8.41648222202423
TC09000214.hg.1,TC09000214.hg.1,-1.7610408165325984,3.2837277969684102e-87,1.0897726755844926e-83,6.546973130366902,8.3080139468995
TC06002280.hg.1,TC06002280.hg.1,-3.222198049398332,3.941153153910149e-87,1.2352887702072376e-83,5.1244384171020245,8.346636466500357
TC07003089.hg.1,TC07003089.hg.1,-2.471312960186051,5.155033707038372e-87,1.5307194299141625e-83,5.080267553593947,7.551580513779998
TC11000570.hg.1,TC11000570.hg.1,-3.0342192005814335,1.2033999988225285e-86,3.3946710566784705e-83,4.5120109782021265,7.54623017878356
TC02000164.hg.1,TC02000164.hg.1,-1.9542474130787193,5.16634891315346e-86,1.3637523075134963e-82,6.074872422986853,8.029119836065572
TC06003968.hg.1,TC06003968.hg.1,-3.2085079911636267,5.317903996117714e-86,1.3637523075134963e-82,5.08706727196301,8.295575263126636
TC14000157.hg.1,TC14000157.hg.1,-1.826543973908609,8.461182130266403e-86,2.075491188805956e-82,6.320860957785382,8.147404931693991
TC16001274.hg.1,TC16001274.hg.1,-1.2462492911709315,9.938154723083359e-86,2.3362117215288208e-82,6.304442425388817,7.550691716559749
TC07003265.hg.1,TC07003265.hg.1,-3.6263633013114207,1.2457602910153016e-85,2.8113321639400515e-82,5.0953767711523446,8.721740072463765
TC03001328.hg.1,TC03001328.hg.1,-1.9517853472608415,2.629699607538005e-85,5.706245863772276e-82,5.618427997357832,7.570213344618674
TC04001066.hg.1,TC04001066.hg.1,-1.9079436251073698,3.7455968025904854e-85,7.826632607724074e-82,6.260009386296765,8.167953011404135
TC05002105.hg.1,TC05002105.hg.1,-1.6063520455904303,8.695946481057074e-85,1.7521711020295645e-81,6.382330876718909,7.988682922309339
TC01001037.hg.1,TC01001037.hg.1,-4.2745246976063855,1.2260762753701105e-84,2.3852679759941687e-81,4.576457984146999,8.850982681753385
TC19001549.hg.1,TC19001549.hg.1,-4.591329491989954,1.330364540592273e-84,2.501883555037829e-81,5.510507338017175,10.101836830007128
TC19002702.hg.1,TC19002702.hg.1,-3.7132092521650337,1.6909376793414058e-84,3.0773974836478526e-81,5.6155543745871634,9.328763626752197
TC12001158.hg.1,TC12001158.hg.1,-2.349982670161271,4.675579458416905e-84,8.243338808905154e-81,6.601129809643908,8.951112479805179
TC07000858.hg.1,TC07000858.hg.1,-3.8515218936527926,4.883377189075822e-84,8.3487992197963555e-81,4.126789609079445,7.978311502732238
TC06001772.hg.1,TC06001772.hg.1,-3.136731440679184,7.094204398133907e-84,1.1771788933350551e-80,3.978285708881283,7.115017149560467
TC11001889.hg.1,TC11001889.hg.1,-3.683944856789096,9.614070057503478e-84,1.5497331557263749e-80,4.8836684759502775,8.567613332739374
TC11001098.hg.1,TC11001098.hg.1,-1.2506201656445226,2.176456766907082e-83,3.410870496537881e-80,6.395578913709243,7.6461990793537655
TC16001336.hg.1,TC16001336.hg.1,-2.716256290693151,8.49993924845178e-83,1.2960799257274392e-79,4.706593879180929,7.42285016987408
TC12001616.hg.1,TC12001616.hg.1,-3.3200386588459088,3.1873832228020027e-82,4.732257543790616e-79,5.39645311295262,8.716491771798529
