ID_REF,probe_id,log2FC,p_value,adj_p_value,mean_tumor,mean_nontumor
TC12002256.hg.1,TC12002256.hg.1,4.887661756910231,2.4635020084870055e-49,1.3666259224662721e-47,9.828279012790485,4.940617255880254
TC01001720.hg.1,TC01001720.hg.1,4.5636423384610145,4.882253183177756e-37,1.1386811082617721e-35,9.702663499069235,5.139021160608221
TC12000182.hg.1,TC12000182.hg.1,4.11554689491905,1.0643234293327158e-45,4.662034102181146e-44,8.985449742388758,4.8699028474697075
TC03002078.hg.1,TC03002078.hg.1,4.109716965953385,9.558804013674746e-43,3.383240933773537e-41,7.469895130006606,3.3601781640532202
TC02000293.hg.1,TC02000293.hg.1,4.10372241598328,1.1765184109294198e-56,1.0603325192941854e-54,9.389778281390742,5.286055865407461
TC0X001190.hg.1,TC0X001190.hg.1,4.002623288165861,6.555255281509261e-48,3.307999932667169e-46,7.576995516723713,3.5743722285578516
TC03001719.hg.1,TC03001719.hg.1,3.9670200668243583,9.464769888395958e-35,1.8835392859383536e-33,8.21321434456254,4.246194277738181
TC04000880.hg.1,TC04000880.hg.1,3.9159608285489744,6.2016202035455494e-61,8.27146592538139e-59,8.855213603554914,4.939252775005939
TC07002496.hg.1,TC07002496.hg.1,3.8925021961900046,1.0754145568021054e-19,7.156491916213869e-19,7.335938169699151,3.4434359735091467
TC07002185.hg.1,TC07002185.hg.1,3.7802599320529797,9.065514435887709e-40,2.575318194581635e-38,6.555001344502492,2.7747414124495124
TC05000218.hg.1,TC05000218.hg.1,3.776666901589737,2.4393364508139663e-52,1.6501496868348004e-50,7.764465164835164,3.9877982632454265
TC19000583.hg.1,TC19000583.hg.1,3.6663506216728114,1.1666816649919026e-25,1.1834204634216678e-24,7.891160745811561,4.22481012413875
TC6_qbl_hap6000166.hg.1,TC6_qbl_hap6000166.hg.1,3.638628726786396,5.953097092100466e-38,1.4776147458958386e-36,8.886951990031823,5.248323263245427
TC6_mcf_hap5000151.hg.1,TC6_mcf_hap5000151.hg.1,3.6383670956401613,8.259853909376178e-38,2.026106251561675e-36,8.904210394523508,5.265843298883347
TC6_apd_hap1000090.hg.1,TC6_apd_hap1000090.hg.1,3.637708864116404,7.976616889212826e-38,1.9608922512226982e-36,8.900243312916594,5.2625344488001895
