Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2023,Mannose Binding (GO:0005537),2/18,0.00012963563814508892,0.0047965186113682,0,0,146.8014705882353,1313.9880817962558,CLEC4M;CD209
GO_Molecular_Function_2023,Olfactory Receptor Binding (GO:0031849),1/5,0.0047413916093995,0.0489226364335586,0,0,277.4583333333333,1484.7973498875915,RTP3
GO_Molecular_Function_2023,Gamma-Aminobutyric Acid Transmembrane Transporter Activity (GO:0015185),1/6,0.0056871157389833,0.0489226364335586,0,0,221.95555555555555,1147.4107993095174,SLC6A6
GO_Molecular_Function_2023,Manganese Ion Transmembrane Transporter Activity (GO:0005384),1/7,0.006631989066781,0.0489226364335586,0,0,184.9537037037037,927.7001289942034,TMEM165
GO_Molecular_Function_2023,Amino Acid:Monoatomic Cation Symporter Activity (GO:0005416),1/9,0.0085191858003351,0.0489226364335586,0,0,138.70138888888889,660.9723846479391,SLC6A6
GO_Molecular_Function_2023,JUN Kinase Binding (GO:0008432),1/9,0.0085191858003351,0.0489226364335586,0,0,138.70138888888889,660.9723846479391,GSTP1
GO_Molecular_Function_2023,Organic Acid:Sodium Symporter Activity (GO:0005343),1/11,0.0104029870187894,0.0489226364335586,0,0,110.95,506.5602322657193,SLC6A6
GO_Molecular_Function_2023,Monocarboxylate:Sodium Symporter Activity (GO:0140161),1/12,0.0113436160025479,0.0489226364335586,0,0,100.85858585858584,451.7557080600296,SLC6A6
GO_Molecular_Function_2023,Sodium:Chloride Symporter Activity (GO:0015378),1/13,0.0122833981550328,0.0489226364335586,0,0,92.44907407407408,406.7303181925871,SLC6A6
GO_Molecular_Function_2023,Alanine Transmembrane Transporter Activity (GO:0022858),1/14,0.013222334171232,0.0489226364335586,0,0,85.33333333333333,369.13902050225767,SLC6A6
