gsm,title,label
GSM1979486,CCA Tumor Tissue LCS_570A,1
GSM1979487,CCA Non-Tumor Tissue LCS_570B,0
GSM1979488,CCA Tumor Tissue LCS_571A,1
GSM1979489,CCA Non-Tumor Tissue LCS_571B,0
GSM1979490,CCA Tumor Tissue LCS_572A,1
GSM1979491,CCA Non-Tumor Tissue LCS_572B,0
GSM1979492,CCA Tumor Tissue LCS_573A,1
GSM1979493,CCA Non-Tumor Tissue LCS_573B,0
GSM1979494,CCA Tumor Tissue LCS_574A,1
GSM1979495,CCA Non-Tumor Tissue LCS_574B,0
GSM1979496,CCA Tumor Tissue LCS_575A,1
GSM1979497,CCA Non-Tumor Tissue LCS_575B,0
GSM1979498,CCA Non-Tumor Tissue LCS_576B,0
GSM1979499,CCA Tumor Tissue LCS_577A,1
GSM1979500,CCA Non-Tumor Tissue LCS_577B,0
GSM1979501,CCA Tumor Tissue LCS_578A,1
GSM1979502,CCA Non-Tumor Tissue LCS_578B,0
GSM1979503,CCA Tumor Tissue LCS_579A,1
GSM1979504,CCA Non-Tumor Tissue LCS_579B,0
GSM1979505,CCA Tumor Tissue LCS_580A,1
GSM1979506,CCA Non-Tumor Tissue LCS_580B,0
GSM1979507,CCA Tumor Tissue LCS_581A,1
GSM1979508,CCA Non-Tumor Tissue LCS_581B,0
GSM1979509,CCA Tumor Tissue LCS_583A,1
GSM1979510,CCA Non-Tumor Tissue LCS_583B,0
GSM1979513,CCA Tumor Tissue LCS_585A,1
GSM1979514,CCA Non-Tumor Tissue LCS_585B,0
GSM1979515,CCA Tumor Tissue LCS_586A,1
GSM1979516,CCA Non-Tumor Tissue LCS_586B,0
GSM1979517,CCA Tumor Tissue LCS_587A,1
GSM1979518,CCA Non-Tumor Tissue LCS_587B,0
GSM1979519,CCA Tumor Tissue LCS_590A,1
GSM1979520,CCA Non-Tumor Tissue LCS_590B,0
GSM1979521,CCA Tumor Tissue LCS_591A,1
GSM1979522,CCA Non-Tumor Tissue LCS_591B,0
GSM1979523,CCA Tumor Tissue LCS_592A,1
GSM1979524,CCA Non-Tumor Tissue LCS_592B,0
GSM1979525,CCA Tumor Tissue LCS_594A,1
GSM1979526,CCA Non-Tumor Tissue LCS_594B,0
GSM1979527,CCA Tumor Tissue LCS_595A,1
GSM1979528,CCA Non-Tumor Tissue LCS_595B,0
GSM1979529,CCA Tumor Tissue LCS_596A,1
GSM1979530,CCA Non-Tumor Tissue LCS_596B,0
GSM1979531,CCA Tumor Tissue LCS_597A,1
GSM1979532,CCA Non-Tumor Tissue LCS_597B,0
GSM1979533,CCA Tumor Tissue LCS_598A,1
GSM1979534,CCA Non-Tumor Tissue LCS_598B,0
GSM1979535,CCA Tumor Tissue LCS_599A,1
GSM1979536,CCA Non-Tumor Tissue LCS_599B,0
GSM1979537,CCA Tumor Tissue LCS_600A,1
GSM1979538,CCA Tumor Tissue LCS_601A,1
GSM1979539,CCA Non-Tumor Tissue LCS_601B,0
GSM1979540,CCA Tumor Tissue LCS_602A,1
GSM1979541,CCA Non-Tumor Tissue LCS_602B,0
GSM1979542,CCA Tumor Tissue LCS_603A,1
GSM1979543,CCA Non-Tumor Tissue LCS_603B,0
GSM1979544,CCA Tumor Tissue LCS_604A,1
GSM1979545,CCA Non-Tumor Tissue LCS_604B,0
GSM1979546,CCA Tumor Tissue LCS_606A,1
GSM1979547,CCA Non-Tumor Tissue LCS_606B,0
GSM1979548,CCA Tumor Tissue LCS_608A,1
GSM1979549,CCA Non-Tumor Tissue LCS_608B,0
GSM1979550,CCA Tumor Tissue LCS_609A,1
GSM1979551,CCA Non-Tumor Tissue LCS_609B,0
GSM1979552,CCA Tumor Tissue LCS_610A,1
GSM1979553,CCA Non-Tumor Tissue LCS_610B,0
GSM1979554,CCA Tumor Tissue LCS_612A,1
GSM1979555,CCA Non-Tumor Tissue LCS_612B,0
GSM1979556,CCA Tumor Tissue LCS_613A,1
GSM1979557,CCA Non-Tumor Tissue LCS_613B,0
GSM1979558,CCA Tumor Tissue LCS_614A,1
GSM1979559,CCA Non-Tumor Tissue LCS_614B,0
GSM1979560,CCA Tumor Tissue LCS_615A,1
GSM1979561,CCA Non-Tumor Tissue LCS_615B,0
GSM1979562,CCA Tumor Tissue LCS_616A,1
GSM1979563,CCA Non-Tumor Tissue LCS_616B,0
GSM1979564,CCA Tumor Tissue LCS_618A,1
GSM1979565,CCA Non-Tumor Tissue LCS_618B,0
GSM1979566,CCA Non-Tumor Tissue LCS_619B,0
